Temperature - (Celsius), Year, Statistics, Country, ISO3
-1.5027, 1901, Jan Average, Iceland, ISL
-2.5847, 1901, Feb Average, Iceland, ISL
-2.371, 1901, Mar Average, Iceland, ISL
-2.1578, 1901, Apr Average, Iceland, ISL
4.18585, 1901, May Average, Iceland, ISL
6.82672, 1901, Jun Average, Iceland, ISL
9.30133, 1901, Jul Average, Iceland, ISL
7.5565, 1901, Aug Average, Iceland, ISL
6.99532, 1901, Sep Average, Iceland, ISL
0.11278, 1901, Oct Average, Iceland, ISL
-1.5862, 1901, Nov Average, Iceland, ISL
-4.7989, 1901, Dec Average, Iceland, ISL
-6.6593, 1902, Jan Average, Iceland, ISL
-5.2788, 1902, Feb Average, Iceland, ISL
-5.1842, 1902, Mar Average, Iceland, ISL
-1.7527, 1902, Apr Average, Iceland, ISL
1.34851, 1902, May Average, Iceland, ISL
5.56082, 1902, Jun Average, Iceland, ISL
7.48167, 1902, Jul Average, Iceland, ISL
6.79522, 1902, Aug Average, Iceland, ISL
5.43615, 1902, Sep Average, Iceland, ISL
2.53148, 1902, Oct Average, Iceland, ISL
-0.1884, 1902, Nov Average, Iceland, ISL
-1.716, 1902, Dec Average, Iceland, ISL
-3.8379, 1903, Jan Average, Iceland, ISL
-4.2732, 1903, Feb Average, Iceland, ISL
-4.2292, 1903, Mar Average, Iceland, ISL
-2.4711, 1903, Apr Average, Iceland, ISL
2.42585, 1903, May Average, Iceland, ISL
6.30688, 1903, Jun Average, Iceland, ISL
8.14589, 1903, Jul Average, Iceland, ISL
5.35022, 1903, Aug Average, Iceland, ISL
5.19048, 1903, Sep Average, Iceland, ISL
0.27311, 1903, Oct Average, Iceland, ISL
-3.0719, 1903, Nov Average, Iceland, ISL
-1.9418, 1903, Dec Average, Iceland, ISL
-3.297, 1904, Jan Average, Iceland, ISL
-3.7854, 1904, Feb Average, Iceland, ISL
-2.8541, 1904, Mar Average, Iceland, ISL
-1.0425, 1904, Apr Average, Iceland, ISL
3.39291, 1904, May Average, Iceland, ISL
7.56649, 1904, Jun Average, Iceland, ISL
9.54241, 1904, Jul Average, Iceland, ISL
7.86734, 1904, Aug Average, Iceland, ISL
6.49416, 1904, Sep Average, Iceland, ISL
