Temperature - (Celsius), Year, Statistics, Country, ISO3
-5.2581, 1901, Jan Average, Poland, POL
-4.7257, 1901, Feb Average, Poland, POL
1.78574, 1901, Mar Average, Poland, POL
7.42957, 1901, Apr Average, Poland, POL
13.8264, 1901, May Average, Poland, POL
17.0834, 1901, Jun Average, Poland, POL
19.4303, 1901, Jul Average, Poland, POL
17.8924, 1901, Aug Average, Poland, POL
13.2105, 1901, Sep Average, Poland, POL
9.91271, 1901, Oct Average, Poland, POL
2.29813, 1901, Nov Average, Poland, POL
0.42571, 1901, Dec Average, Poland, POL
1.46589, 1902, Jan Average, Poland, POL
-2.9194, 1902, Feb Average, Poland, POL
2.14063, 1902, Mar Average, Poland, POL
5.36296, 1902, Apr Average, Poland, POL
9.86862, 1902, May Average, Poland, POL
15.2502, 1902, Jun Average, Poland, POL
15.7996, 1902, Jul Average, Poland, POL
15.6011, 1902, Aug Average, Poland, POL
12.1707, 1902, Sep Average, Poland, POL
6.73122, 1902, Oct Average, Poland, POL
-0.3671, 1902, Nov Average, Poland, POL
-5.045, 1902, Dec Average, Poland, POL
-2.2465, 1903, Jan Average, Poland, POL
2.08594, 1903, Feb Average, Poland, POL
5.6146, 1903, Mar Average, Poland, POL
5.96213, 1903, Apr Average, Poland, POL
13.362, 1903, May Average, Poland, POL
15.8685, 1903, Jun Average, Poland, POL
17.3418, 1903, Jul Average, Poland, POL
16.2184, 1903, Aug Average, Poland, POL
13.8422, 1903, Sep Average, Poland, POL
8.32509, 1903, Oct Average, Poland, POL
3.44705, 1903, Nov Average, Poland, POL
-1.456, 1903, Dec Average, Poland, POL
-2.9891, 1904, Jan Average, Poland, POL
0.06405, 1904, Feb Average, Poland, POL
1.56222, 1904, Mar Average, Poland, POL
7.43544, 1904, Apr Average, Poland, POL
11.378, 1904, May Average, Poland, POL
15.1852, 1904, Jun Average, Poland, POL
18.0901, 1904, Jul Average, Poland, POL
17.0619, 1904, Aug Average, Poland, POL
12.2282, 1904, Sep Average, Poland, POL
8.12118, 1904, Oct Average, Poland, POL
1.91918, 1904, Nov Average, Poland, POL
0.46649, 1904, Dec Average, Poland, POL
-4.5258, 1905, Jan Average, Poland, POL
-0.2521, 1905, Feb Average, Poland, POL
3.27629, 1905, Mar Average, Poland, POL
5.32863, 1905, Apr Average, Poland, POL
13.4634, 1905, May Average, Poland, POL
18.0393, 1905, Jun Average, Poland, POL
18.4943, 1905, Jul Average, Poland, POL
17.6468, 1905, Aug Average, Poland, POL
13.3027, 1905, Sep Average, Poland, POL
5.1267, 1905, Oct Average, Poland, POL
3.48206, 1905, Nov Average, Poland, POL
-0.2798, 1905, Dec Average, Poland, POL
-1.3708, 1906, Jan Average, Poland, POL
-0.5777, 1906, Feb Average, Poland, POL
2.2377, 1906, Mar Average, Poland, POL
9.02343, 1906, Apr Average, Poland, POL
15.0473, 1906, May Average, Poland, POL
15.6154, 1906, Jun Average, Poland, POL
18.308, 1906, Jul Average, Poland, POL
16.6281, 1906, Aug Average, Poland, POL
12.435, 1906, Sep Average, Poland, POL
8.13943, 1906, Oct Average, Poland, POL
5.79466, 1906, Nov Average, Poland, POL
-3.5176, 1906, Dec Average, Poland, POL
-3.8423, 1907, Jan Average, Poland, POL
-3.5387, 1907, Feb Average, Poland, POL
1.00496, 1907, Mar Average, Poland, POL
5.36288, 1907, Apr Average, Poland, POL
14.1196, 1907, May Average, Poland, POL
15.5226, 1907, Jun Average, Poland, POL
16.0788, 1907, Jul Average, Poland, POL
15.9336, 1907, Aug Average, Poland, POL
12.8085, 1907, Sep Average, Poland, POL
12.3281, 1907, Oct Average, Poland, POL
1.42867, 1907, Nov Average, Poland, POL
-1.984, 1907, Dec Average, Poland, POL
-2.4797, 1908, Jan Average, Poland, POL
0.07501, 1908, Feb Average, Poland, POL
1.87505, 1908, Mar Average, Poland, POL
5.73048, 1908, Apr Average, Poland, POL
13.541, 1908, May Average, Poland, POL
16.6644, 1908, Jun Average, Poland, POL
18.0372, 1908, Jul Average, Poland, POL
15.7405, 1908, Aug Average, Poland, POL
12.0248, 1908, Sep Average, Poland, POL
7.52588, 1908, Oct Average, Poland, POL
-0.6323, 1908, Nov Average, Poland, POL
-2.7685, 1908, Dec Average, Poland, POL
-3.5948, 1909, Jan Average, Poland, POL
-5.2319, 1909, Feb Average, Poland, POL
1.14649, 1909, Mar Average, Poland, POL
6.04035, 1909, Apr Average, Poland, POL
10.562, 1909, May Average, Poland, POL
15.344, 1909, Jun Average, Poland, POL
16.251, 1909, Jul Average, Poland, POL
17.0375, 1909, Aug Average, Poland, POL
14.2347, 1909, Sep Average, Poland, POL
10.7984, 1909, Oct Average, Poland, POL
1.25816, 1909, Nov Average, Poland, POL
0.66466, 1909, Dec Average, Poland, POL
-0.3588, 1910, Jan Average, Poland, POL
1.94108, 1910, Feb Average, Poland, POL
3.26186, 1910, Mar Average, Poland, POL
7.75711, 1910, Apr Average, Poland, POL
13.9041, 1910, May Average, Poland, POL
17.6971, 1910, Jun Average, Poland, POL
16.7422, 1910, Jul Average, Poland, POL
16.4631, 1910, Aug Average, Poland, POL
12.6668, 1910, Sep Average, Poland, POL
7.78106, 1910, Oct Average, Poland, POL
1.86788, 1910, Nov Average, Poland, POL
1.55842, 1910, Dec Average, Poland, POL
-1.4335, 1911, Jan Average, Poland, POL
-2.3356, 1911, Feb Average, Poland, POL
3.21134, 1911, Mar Average, Poland, POL
7.25425, 1911, Apr Average, Poland, POL
14.0426, 1911, May Average, Poland, POL
15.3837, 1911, Jun Average, Poland, POL
18.2022, 1911, Jul Average, Poland, POL
19.0002, 1911, Aug Average, Poland, POL
14.2106, 1911, Sep Average, Poland, POL
8.48878, 1911, Oct Average, Poland, POL
4.45703, 1911, Nov Average, Poland, POL
0.57299, 1911, Dec Average, Poland, POL
-6.478, 1912, Jan Average, Poland, POL
-1.0035, 1912, Feb Average, Poland, POL
5.11707, 1912, Mar Average, Poland, POL
5.77027, 1912, Apr Average, Poland, POL
11.5064, 1912, May Average, Poland, POL
16.8026, 1912, Jun Average, Poland, POL
18.6439, 1912, Jul Average, Poland, POL
16.09, 1912, Aug Average, Poland, POL
9.96768, 1912, Sep Average, Poland, POL
5.61306, 1912, Oct Average, Poland, POL
1.50414, 1912, Nov Average, Poland, POL
2.06853, 1912, Dec Average, Poland, POL
-3.1969, 1913, Jan Average, Poland, POL
-0.4608, 1913, Feb Average, Poland, POL
5.33442, 1913, Mar Average, Poland, POL
8.07658, 1913, Apr Average, Poland, POL
12.4049, 1913, May Average, Poland, POL
15.0281, 1913, Jun Average, Poland, POL
16.0558, 1913, Jul Average, Poland, POL
16.1928, 1913, Aug Average, Poland, POL
13.2976, 1913, Sep Average, Poland, POL
8.53387, 1913, Oct Average, Poland, POL
5.41858, 1913, Nov Average, Poland, POL
1.46513, 1913, Dec Average, Poland, POL
-4.1607, 1914, Jan Average, Poland, POL
1.38646, 1914, Feb Average, Poland, POL
4.11105, 1914, Mar Average, Poland, POL
8.87579, 1914, Apr Average, Poland, POL
12.7472, 1914, May Average, Poland, POL
15.9494, 1914, Jun Average, Poland, POL
19.1684, 1914, Jul Average, Poland, POL
17.2954, 1914, Aug Average, Poland, POL
12.2234, 1914, Sep Average, Poland, POL
7.21122, 1914, Oct Average, Poland, POL
1.55468, 1914, Nov Average, Poland, POL
1.99825, 1914, Dec Average, Poland, POL
-1.3942, 1915, Jan Average, Poland, POL
-0.4364, 1915, Feb Average, Poland, POL
-0.4459, 1915, Mar Average, Poland, POL
7.38942, 1915, Apr Average, Poland, POL
13.2115, 1915, May Average, Poland, POL
17.2191, 1915, Jun Average, Poland, POL
17.5751, 1915, Jul Average, Poland, POL
15.9337, 1915, Aug Average, Poland, POL
11.7845, 1915, Sep Average, Poland, POL
6.54091, 1915, Oct Average, Poland, POL
1.06318, 1915, Nov Average, Poland, POL
0.97887, 1915, Dec Average, Poland, POL
1.03604, 1916, Jan Average, Poland, POL
-0.4953, 1916, Feb Average, Poland, POL
3.8055, 1916, Mar Average, Poland, POL
8.17656, 1916, Apr Average, Poland, POL
12.7594, 1916, May Average, Poland, POL
14.3858, 1916, Jun Average, Poland, POL
17.2447, 1916, Jul Average, Poland, POL
16.2361, 1916, Aug Average, Poland, POL
12.245, 1916, Sep Average, Poland, POL
7.73961, 1916, Oct Average, Poland, POL
4.37713, 1916, Nov Average, Poland, POL
1.09671, 1916, Dec Average, Poland, POL
-4.2649, 1917, Jan Average, Poland, POL
-5.7676, 1917, Feb Average, Poland, POL
-1.7181, 1917, Mar Average, Poland, POL
4.76193, 1917, Apr Average, Poland, POL
13.2995, 1917, May Average, Poland, POL
18.8829, 1917, Jun Average, Poland, POL
17.8266, 1917, Jul Average, Poland, POL
18.6186, 1917, Aug Average, Poland, POL
14.4176, 1917, Sep Average, Poland, POL
8.92991, 1917, Oct Average, Poland, POL
4.63926, 1917, Nov Average, Poland, POL
-2.3784, 1917, Dec Average, Poland, POL
-1.018, 1918, Jan Average, Poland, POL
-0.603, 1918, Feb Average, Poland, POL
2.68926, 1918, Mar Average, Poland, POL
10.9035, 1918, Apr Average, Poland, POL
13.2306, 1918, May Average, Poland, POL
13.6739, 1918, Jun Average, Poland, POL
17.3921, 1918, Jul Average, Poland, POL
16.6897, 1918, Aug Average, Poland, POL
13.9584, 1918, Sep Average, Poland, POL
9.52702, 1918, Oct Average, Poland, POL
2.26849, 1918, Nov Average, Poland, POL
0.15527, 1918, Dec Average, Poland, POL
-1.0924, 1919, Jan Average, Poland, POL
-1.4383, 1919, Feb Average, Poland, POL
2.23866, 1919, Mar Average, Poland, POL
6.49534, 1919, Apr Average, Poland, POL
10.4826, 1919, May Average, Poland, POL
15.271, 1919, Jun Average, Poland, POL
16.2791, 1919, Jul Average, Poland, POL
15.935, 1919, Aug Average, Poland, POL
15.3538, 1919, Sep Average, Poland, POL
7.02422, 1919, Oct Average, Poland, POL
-0.7665, 1919, Nov Average, Poland, POL
-1.4133, 1919, Dec Average, Poland, POL
-1.2255, 1920, Jan Average, Poland, POL
0.79414, 1920, Feb Average, Poland, POL
5.31396, 1920, Mar Average, Poland, POL
11.244, 1920, Apr Average, Poland, POL
14.6945, 1920, May Average, Poland, POL
14.5637, 1920, Jun Average, Poland, POL
19.1362, 1920, Jul Average, Poland, POL
16.8423, 1920, Aug Average, Poland, POL
13.434, 1920, Sep Average, Poland, POL
5.32524, 1920, Oct Average, Poland, POL
0.43791, 1920, Nov Average, Poland, POL
-1.6439, 1920, Dec Average, Poland, POL
2.03035, 1921, Jan Average, Poland, POL
-1.5157, 1921, Feb Average, Poland, POL
5.81158, 1921, Mar Average, Poland, POL
8.32184, 1921, Apr Average, Poland, POL
15.0396, 1921, May Average, Poland, POL
15.0001, 1921, Jun Average, Poland, POL
18.4777, 1921, Jul Average, Poland, POL
18.0992, 1921, Aug Average, Poland, POL
12.684, 1921, Sep Average, Poland, POL
9.35471, 1921, Oct Average, Poland, POL
-0.6788, 1921, Nov Average, Poland, POL
-1.8922, 1921, Dec Average, Poland, POL
-5.8852, 1922, Jan Average, Poland, POL
-3.8108, 1922, Feb Average, Poland, POL
2.96998, 1922, Mar Average, Poland, POL
6.17325, 1922, Apr Average, Poland, POL
13.198, 1922, May Average, Poland, POL
15.8451, 1922, Jun Average, Poland, POL
17.3402, 1922, Jul Average, Poland, POL
16.2682, 1922, Aug Average, Poland, POL
11.5053, 1922, Sep Average, Poland, POL
5.06499, 1922, Oct Average, Poland, POL
1.19325, 1922, Nov Average, Poland, POL
0.3523, 1922, Dec Average, Poland, POL
-0.1626, 1923, Jan Average, Poland, POL
-2.68, 1923, Feb Average, Poland, POL
3.51381, 1923, Mar Average, Poland, POL
5.73109, 1923, Apr Average, Poland, POL
13.0134, 1923, May Average, Poland, POL
12.3714, 1923, Jun Average, Poland, POL
18.0466, 1923, Jul Average, Poland, POL
15.7449, 1923, Aug Average, Poland, POL
13.5923, 1923, Sep Average, Poland, POL
10.4375, 1923, Oct Average, Poland, POL
3.61337, 1923, Nov Average, Poland, POL
-2.2871, 1923, Dec Average, Poland, POL
-6.2312, 1924, Jan Average, Poland, POL
-4.8542, 1924, Feb Average, Poland, POL
0.25061, 1924, Mar Average, Poland, POL
5.29307, 1924, Apr Average, Poland, POL
14.1761, 1924, May Average, Poland, POL
15.9699, 1924, Jun Average, Poland, POL
16.8686, 1924, Jul Average, Poland, POL
16.4935, 1924, Aug Average, Poland, POL
14.6564, 1924, Sep Average, Poland, POL
9.08565, 1924, Oct Average, Poland, POL
2.15822, 1924, Nov Average, Poland, POL
-0.6765, 1924, Dec Average, Poland, POL
1.08614, 1925, Jan Average, Poland, POL
3.33358, 1925, Feb Average, Poland, POL
1.60584, 1925, Mar Average, Poland, POL
8.10759, 1925, Apr Average, Poland, POL
14.874, 1925, May Average, Poland, POL
14.157, 1925, Jun Average, Poland, POL
18.3866, 1925, Jul Average, Poland, POL
16.9206, 1925, Aug Average, Poland, POL
11.9173, 1925, Sep Average, Poland, POL
7.68967, 1925, Oct Average, Poland, POL
2.11886, 1925, Nov Average, Poland, POL
-1.6601, 1925, Dec Average, Poland, POL
-2.7165, 1926, Jan Average, Poland, POL
0.90442, 1926, Feb Average, Poland, POL
2.27708, 1926, Mar Average, Poland, POL
8.78472, 1926, Apr Average, Poland, POL
12.4712, 1926, May Average, Poland, POL
15.1804, 1926, Jun Average, Poland, POL
18.4357, 1926, Jul Average, Poland, POL
15.7272, 1926, Aug Average, Poland, POL
13.7082, 1926, Sep Average, Poland, POL
7.45777, 1926, Oct Average, Poland, POL
7.17344, 1926, Nov Average, Poland, POL
-1.0551, 1926, Dec Average, Poland, POL
-1.5285, 1927, Jan Average, Poland, POL
-1.8, 1927, Feb Average, Poland, POL
5.54003, 1927, Mar Average, Poland, POL
6.604, 1927, Apr Average, Poland, POL
10.3988, 1927, May Average, Poland, POL
15.3121, 1927, Jun Average, Poland, POL
18.9207, 1927, Jul Average, Poland, POL
17.9066, 1927, Aug Average, Poland, POL
14.0983, 1927, Sep Average, Poland, POL
8.36091, 1927, Oct Average, Poland, POL
1.76185, 1927, Nov Average, Poland, POL
-5.3614, 1927, Dec Average, Poland, POL
-1.1749, 1928, Jan Average, Poland, POL
-0.879, 1928, Feb Average, Poland, POL
0.89184, 1928, Mar Average, Poland, POL
7.09472, 1928, Apr Average, Poland, POL
11.0548, 1928, May Average, Poland, POL
13.5775, 1928, Jun Average, Poland, POL
18.4245, 1928, Jul Average, Poland, POL
16.3576, 1928, Aug Average, Poland, POL
13.1245, 1928, Sep Average, Poland, POL
8.5601, 1928, Oct Average, Poland, POL
6.06755, 1928, Nov Average, Poland, POL
-2.1335, 1928, Dec Average, Poland, POL
-6.9447, 1929, Jan Average, Poland, POL
-9.2163, 1929, Feb Average, Poland, POL
-0.4032, 1929, Mar Average, Poland, POL
3.13388, 1929, Apr Average, Poland, POL
14.0693, 1929, May Average, Poland, POL
14.1946, 1929, Jun Average, Poland, POL
17.4695, 1929, Jul Average, Poland, POL
17.9063, 1929, Aug Average, Poland, POL
13.7613, 1929, Sep Average, Poland, POL
10.4903, 1929, Oct Average, Poland, POL
4.67693, 1929, Nov Average, Poland, POL
1.77959, 1929, Dec Average, Poland, POL
0.07958, 1930, Jan Average, Poland, POL
-1.2736, 1930, Feb Average, Poland, POL
3.57078, 1930, Mar Average, Poland, POL
8.73374, 1930, Apr Average, Poland, POL
12.6327, 1930, May Average, Poland, POL
17.8818, 1930, Jun Average, Poland, POL
17.4494, 1930, Jul Average, Poland, POL
16.6834, 1930, Aug Average, Poland, POL
13.1798, 1930, Sep Average, Poland, POL
9.12287, 1930, Oct Average, Poland, POL
5.01708, 1930, Nov Average, Poland, POL
-1.6963, 1930, Dec Average, Poland, POL
-2.0777, 1931, Jan Average, Poland, POL
-2.8299, 1931, Feb Average, Poland, POL
-0.8066, 1931, Mar Average, Poland, POL
5.02061, 1931, Apr Average, Poland, POL
16.125, 1931, May Average, Poland, POL
15.9165, 1931, Jun Average, Poland, POL
18.2503, 1931, Jul Average, Poland, POL
16.6574, 1931, Aug Average, Poland, POL
10.6838, 1931, Sep Average, Poland, POL
7.10856, 1931, Oct Average, Poland, POL
2.32047, 1931, Nov Average, Poland, POL
-0.6151, 1931, Dec Average, Poland, POL
-0.4814, 1932, Jan Average, Poland, POL
-4.894, 1932, Feb Average, Poland, POL
-1.2956, 1932, Mar Average, Poland, POL
7.27169, 1932, Apr Average, Poland, POL
14.3882, 1932, May Average, Poland, POL
14.7106, 1932, Jun Average, Poland, POL
20.1021, 1932, Jul Average, Poland, POL
18.6961, 1932, Aug Average, Poland, POL
15.6225, 1932, Sep Average, Poland, POL
9.26966, 1932, Oct Average, Poland, POL
3.33171, 1932, Nov Average, Poland, POL
0.38626, 1932, Dec Average, Poland, POL
-6.1309, 1933, Jan Average, Poland, POL
-1.4777, 1933, Feb Average, Poland, POL
3.26848, 1933, Mar Average, Poland, POL
5.0767, 1933, Apr Average, Poland, POL
11.6599, 1933, May Average, Poland, POL
14.7083, 1933, Jun Average, Poland, POL
18.4613, 1933, Jul Average, Poland, POL
16.8239, 1933, Aug Average, Poland, POL
12.8577, 1933, Sep Average, Poland, POL
8.75106, 1933, Oct Average, Poland, POL
1.84234, 1933, Nov Average, Poland, POL
-5.5133, 1933, Dec Average, Poland, POL
-1.9613, 1934, Jan Average, Poland, POL
0.36339, 1934, Feb Average, Poland, POL
4.96695, 1934, Mar Average, Poland, POL
10.1476, 1934, Apr Average, Poland, POL
14.6445, 1934, May Average, Poland, POL
16.2624, 1934, Jun Average, Poland, POL
18.2162, 1934, Jul Average, Poland, POL
17.9569, 1934, Aug Average, Poland, POL
15.4223, 1934, Sep Average, Poland, POL
10.1064, 1934, Oct Average, Poland, POL
5.08961, 1934, Nov Average, Poland, POL
0.88399, 1934, Dec Average, Poland, POL
-4.4986, 1935, Jan Average, Poland, POL
-0.1277, 1935, Feb Average, Poland, POL
1.60443, 1935, Mar Average, Poland, POL
7.41225, 1935, Apr Average, Poland, POL
10.9069, 1935, May Average, Poland, POL
17.9167, 1935, Jun Average, Poland, POL
17.1581, 1935, Jul Average, Poland, POL
17.313, 1935, Aug Average, Poland, POL
13.9366, 1935, Sep Average, Poland, POL
9.96394, 1935, Oct Average, Poland, POL
3.45657, 1935, Nov Average, Poland, POL
0.06172, 1935, Dec Average, Poland, POL
1.45778, 1936, Jan Average, Poland, POL
-2.4254, 1936, Feb Average, Poland, POL
4.69596, 1936, Mar Average, Poland, POL
7.24464, 1936, Apr Average, Poland, POL
14.4005, 1936, May Average, Poland, POL
16.8723, 1936, Jun Average, Poland, POL
19.4242, 1936, Jul Average, Poland, POL
16.5741, 1936, Aug Average, Poland, POL
12.6424, 1936, Sep Average, Poland, POL
5.77538, 1936, Oct Average, Poland, POL
3.24618, 1936, Nov Average, Poland, POL
0.72326, 1936, Dec Average, Poland, POL
-5.757, 1937, Jan Average, Poland, POL
-0.3332, 1937, Feb Average, Poland, POL
3.32293, 1937, Mar Average, Poland, POL
7.98102, 1937, Apr Average, Poland, POL
16.281, 1937, May Average, Poland, POL
17.5548, 1937, Jun Average, Poland, POL
18.1245, 1937, Jul Average, Poland, POL
18.4263, 1937, Aug Average, Poland, POL
14.8901, 1937, Sep Average, Poland, POL
9.5238, 1937, Oct Average, Poland, POL
3.09466, 1937, Nov Average, Poland, POL
-2.0652, 1937, Dec Average, Poland, POL
-1.4822, 1938, Jan Average, Poland, POL
0.20048, 1938, Feb Average, Poland, POL
6.38259, 1938, Mar Average, Poland, POL
5.35287, 1938, Apr Average, Poland, POL
11.9652, 1938, May Average, Poland, POL
16.5983, 1938, Jun Average, Poland, POL
18.5022, 1938, Jul Average, Poland, POL
19.1618, 1938, Aug Average, Poland, POL
14.0122, 1938, Sep Average, Poland, POL
9.80748, 1938, Oct Average, Poland, POL
6.0044, 1938, Nov Average, Poland, POL
-3.402, 1938, Dec Average, Poland, POL
0.21681, 1939, Jan Average, Poland, POL
2.08404, 1939, Feb Average, Poland, POL
1.26757, 1939, Mar Average, Poland, POL
9.24269, 1939, Apr Average, Poland, POL
11.7804, 1939, May Average, Poland, POL
17.2235, 1939, Jun Average, Poland, POL
19.1587, 1939, Jul Average, Poland, POL
19.4594, 1939, Aug Average, Poland, POL
13.5948, 1939, Sep Average, Poland, POL
6.32714, 1939, Oct Average, Poland, POL
3.90693, 1939, Nov Average, Poland, POL
-2.5649, 1939, Dec Average, Poland, POL
-10.833, 1940, Jan Average, Poland, POL
-9.5776, 1940, Feb Average, Poland, POL
-0.5251, 1940, Mar Average, Poland, POL
6.74858, 1940, Apr Average, Poland, POL
12.4571, 1940, May Average, Poland, POL
17.3741, 1940, Jun Average, Poland, POL
17.8413, 1940, Jul Average, Poland, POL
15.2616, 1940, Aug Average, Poland, POL
12.568, 1940, Sep Average, Poland, POL
7.0057, 1940, Oct Average, Poland, POL
5.06194, 1940, Nov Average, Poland, POL
-4.1619, 1940, Dec Average, Poland, POL
-8.6662, 1941, Jan Average, Poland, POL
-1.8617, 1941, Feb Average, Poland, POL
1.74573, 1941, Mar Average, Poland, POL
4.97076, 1941, Apr Average, Poland, POL
10.005, 1941, May Average, Poland, POL
15.6656, 1941, Jun Average, Poland, POL
18.91, 1941, Jul Average, Poland, POL
16.4163, 1941, Aug Average, Poland, POL
11.7701, 1941, Sep Average, Poland, POL
6.79776, 1941, Oct Average, Poland, POL
-0.7116, 1941, Nov Average, Poland, POL
-0.3945, 1941, Dec Average, Poland, POL
-10.882, 1942, Jan Average, Poland, POL
-6.3821, 1942, Feb Average, Poland, POL
-2.5046, 1942, Mar Average, Poland, POL
6.05146, 1942, Apr Average, Poland, POL
12.2843, 1942, May Average, Poland, POL
