Temperature - (Celsius), Year, Statistics, Country, ISO3
7.87119, 1901, Jan Average, Portugal, PRT
6.38664, 1901, Feb Average, Portugal, PRT
9.50226, 1901, Mar Average, Portugal, PRT
13.221, 1901, Apr Average, Portugal, PRT
15.69, 1901, May Average, Portugal, PRT
19.9846, 1901, Jun Average, Portugal, PRT
21.5648, 1901, Jul Average, Portugal, PRT
22.1309, 1901, Aug Average, Portugal, PRT
18.2912, 1901, Sep Average, Portugal, PRT
13.7197, 1901, Oct Average, Portugal, PRT
9.628, 1901, Nov Average, Portugal, PRT
6.79127, 1901, Dec Average, Portugal, PRT
7.74629, 1902, Jan Average, Portugal, PRT
8.27247, 1902, Feb Average, Portugal, PRT
11.3267, 1902, Mar Average, Portugal, PRT
12.9913, 1902, Apr Average, Portugal, PRT
14.4674, 1902, May Average, Portugal, PRT
17.2854, 1902, Jun Average, Portugal, PRT
21.0961, 1902, Jul Average, Portugal, PRT
20.9727, 1902, Aug Average, Portugal, PRT
18.5705, 1902, Sep Average, Portugal, PRT
14.3384, 1902, Oct Average, Portugal, PRT
11.5976, 1902, Nov Average, Portugal, PRT
8.27052, 1902, Dec Average, Portugal, PRT
7.73898, 1903, Jan Average, Portugal, PRT
9.47104, 1903, Feb Average, Portugal, PRT
10.7472, 1903, Mar Average, Portugal, PRT
13.4645, 1903, Apr Average, Portugal, PRT
14.1822, 1903, May Average, Portugal, PRT
17.8379, 1903, Jun Average, Portugal, PRT
21.3277, 1903, Jul Average, Portugal, PRT
22.1831, 1903, Aug Average, Portugal, PRT
18.2429, 1903, Sep Average, Portugal, PRT
15.3157, 1903, Oct Average, Portugal, PRT
11.7745, 1903, Nov Average, Portugal, PRT
7.09289, 1903, Dec Average, Portugal, PRT
7.50159, 1904, Jan Average, Portugal, PRT
8.70459, 1904, Feb Average, Portugal, PRT
9.08152, 1904, Mar Average, Portugal, PRT
13.5753, 1904, Apr Average, Portugal, PRT
16.7862, 1904, May Average, Portugal, PRT
19.0326, 1904, Jun Average, Portugal, PRT
21.2494, 1904, Jul Average, Portugal, PRT
21.7156, 1904, Aug Average, Portugal, PRT
17.99, 1904, Sep Average, Portugal, PRT
16.625, 1904, Oct Average, Portugal, PRT
11.0912, 1904, Nov Average, Portugal, PRT
9.80649, 1904, Dec Average, Portugal, PRT
7.16069, 1905, Jan Average, Portugal, PRT
7.36112, 1905, Feb Average, Portugal, PRT
11.3965, 1905, Mar Average, Portugal, PRT
13.8598, 1905, Apr Average, Portugal, PRT
15.3352, 1905, May Average, Portugal, PRT
17.7318, 1905, Jun Average, Portugal, PRT
21.6205, 1905, Jul Average, Portugal, PRT
20.861, 1905, Aug Average, Portugal, PRT
18.0073, 1905, Sep Average, Portugal, PRT
14.232, 1905, Oct Average, Portugal, PRT
9.53544, 1905, Nov Average, Portugal, PRT
8.22295, 1905, Dec Average, Portugal, PRT
8.39325, 1906, Jan Average, Portugal, PRT
7.34526, 1906, Feb Average, Portugal, PRT
10.0363, 1906, Mar Average, Portugal, PRT
11.6137, 1906, Apr Average, Portugal, PRT
15.1217, 1906, May Average, Portugal, PRT
19.7646, 1906, Jun Average, Portugal, PRT
21.3836, 1906, Jul Average, Portugal, PRT
22.6469, 1906, Aug Average, Portugal, PRT
19.7265, 1906, Sep Average, Portugal, PRT
15.4458, 1906, Oct Average, Portugal, PRT
10.8014, 1906, Nov Average, Portugal, PRT
7.49109, 1906, Dec Average, Portugal, PRT
6.90341, 1907, Jan Average, Portugal, PRT
7.22161, 1907, Feb Average, Portugal, PRT
11.3294, 1907, Mar Average, Portugal, PRT
12.4412, 1907, Apr Average, Portugal, PRT
14.2282, 1907, May Average, Portugal, PRT
18.8123, 1907, Jun Average, Portugal, PRT
20.1993, 1907, Jul Average, Portugal, PRT
22.1931, 1907, Aug Average, Portugal, PRT
20.1186, 1907, Sep Average, Portugal, PRT
13.4729, 1907, Oct Average, Portugal, PRT
10.908, 1907, Nov Average, Portugal, PRT
9.94584, 1907, Dec Average, Portugal, PRT
8.50421, 1908, Jan Average, Portugal, PRT
8.4937, 1908, Feb Average, Portugal, PRT
8.94873, 1908, Mar Average, Portugal, PRT
11.1387, 1908, Apr Average, Portugal, PRT
16.8521, 1908, May Average, Portugal, PRT
18.0554, 1908, Jun Average, Portugal, PRT
21.1356, 1908, Jul Average, Portugal, PRT
21.44, 1908, Aug Average, Portugal, PRT
19.3291, 1908, Sep Average, Portugal, PRT
16.2575, 1908, Oct Average, Portugal, PRT
12.3485, 1908, Nov Average, Portugal, PRT
9.14749, 1908, Dec Average, Portugal, PRT
7.02351, 1909, Jan Average, Portugal, PRT
7.19527, 1909, Feb Average, Portugal, PRT
9.45008, 1909, Mar Average, Portugal, PRT
13.9111, 1909, Apr Average, Portugal, PRT
16.2128, 1909, May Average, Portugal, PRT
16.5197, 1909, Jun Average, Portugal, PRT
21.31, 1909, Jul Average, Portugal, PRT
21.4541, 1909, Aug Average, Portugal, PRT
17.7736, 1909, Sep Average, Portugal, PRT
15.643, 1909, Oct Average, Portugal, PRT
10.9571, 1909, Nov Average, Portugal, PRT
9.75477, 1909, Dec Average, Portugal, PRT
7.52854, 1910, Jan Average, Portugal, PRT
9.54777, 1910, Feb Average, Portugal, PRT
9.37969, 1910, Mar Average, Portugal, PRT
12.0946, 1910, Apr Average, Portugal, PRT
13.7778, 1910, May Average, Portugal, PRT
18.2355, 1910, Jun Average, Portugal, PRT
20.305, 1910, Jul Average, Portugal, PRT
20.8498, 1910, Aug Average, Portugal, PRT
19.206, 1910, Sep Average, Portugal, PRT
15.1988, 1910, Oct Average, Portugal, PRT
11.0724, 1910, Nov Average, Portugal, PRT
9.20297, 1910, Dec Average, Portugal, PRT
5.48954, 1911, Jan Average, Portugal, PRT
8.79781, 1911, Feb Average, Portugal, PRT
9.2849, 1911, Mar Average, Portugal, PRT
11.1448, 1911, Apr Average, Portugal, PRT
14.5779, 1911, May Average, Portugal, PRT
17.3871, 1911, Jun Average, Portugal, PRT
22.4736, 1911, Jul Average, Portugal, PRT
21.9877, 1911, Aug Average, Portugal, PRT
21.1292, 1911, Sep Average, Portugal, PRT
14.3764, 1911, Oct Average, Portugal, PRT
10.7506, 1911, Nov Average, Portugal, PRT
9.70554, 1911, Dec Average, Portugal, PRT
8.10334, 1912, Jan Average, Portugal, PRT
10.7285, 1912, Feb Average, Portugal, PRT
11.6008, 1912, Mar Average, Portugal, PRT
12.865, 1912, Apr Average, Portugal, PRT
16.8129, 1912, May Average, Portugal, PRT
17.6122, 1912, Jun Average, Portugal, PRT
19.0638, 1912, Jul Average, Portugal, PRT
19.7777, 1912, Aug Average, Portugal, PRT
18.5622, 1912, Sep Average, Portugal, PRT
14.3691, 1912, Oct Average, Portugal, PRT
10.4241, 1912, Nov Average, Portugal, PRT
7.43521, 1912, Dec Average, Portugal, PRT
9.2881, 1913, Jan Average, Portugal, PRT
8.51547, 1913, Feb Average, Portugal, PRT
10.4935, 1913, Mar Average, Portugal, PRT
11.6123, 1913, Apr Average, Portugal, PRT
15.3236, 1913, May Average, Portugal, PRT
19.8419, 1913, Jun Average, Portugal, PRT
21.2112, 1913, Jul Average, Portugal, PRT
20.7061, 1913, Aug Average, Portugal, PRT
17.7793, 1913, Sep Average, Portugal, PRT
14.8144, 1913, Oct Average, Portugal, PRT
11.7963, 1913, Nov Average, Portugal, PRT
7.57003, 1913, Dec Average, Portugal, PRT
6.42253, 1914, Jan Average, Portugal, PRT
9.31678, 1914, Feb Average, Portugal, PRT
10.6498, 1914, Mar Average, Portugal, PRT
13.2067, 1914, Apr Average, Portugal, PRT
15.5035, 1914, May Average, Portugal, PRT
17.1458, 1914, Jun Average, Portugal, PRT
19.9253, 1914, Jul Average, Portugal, PRT
21.0244, 1914, Aug Average, Portugal, PRT
20.3593, 1914, Sep Average, Portugal, PRT
15.5151, 1914, Oct Average, Portugal, PRT
10.4746, 1914, Nov Average, Portugal, PRT
8.77634, 1914, Dec Average, Portugal, PRT
7.36127, 1915, Jan Average, Portugal, PRT
8.02129, 1915, Feb Average, Portugal, PRT
10.9472, 1915, Mar Average, Portugal, PRT
11.2499, 1915, Apr Average, Portugal, PRT
15.6749, 1915, May Average, Portugal, PRT
18.2944, 1915, Jun Average, Portugal, PRT
21.5146, 1915, Jul Average, Portugal, PRT
22.0726, 1915, Aug Average, Portugal, PRT
19.2104, 1915, Sep Average, Portugal, PRT
14.3506, 1915, Oct Average, Portugal, PRT
11.1811, 1915, Nov Average, Portugal, PRT
9.89899, 1915, Dec Average, Portugal, PRT
8.14155, 1916, Jan Average, Portugal, PRT
8.08657, 1916, Feb Average, Portugal, PRT
8.79828, 1916, Mar Average, Portugal, PRT
12.2817, 1916, Apr Average, Portugal, PRT
15.5847, 1916, May Average, Portugal, PRT
18.1752, 1916, Jun Average, Portugal, PRT
20.6234, 1916, Jul Average, Portugal, PRT
21.7153, 1916, Aug Average, Portugal, PRT
19.2664, 1916, Sep Average, Portugal, PRT
15.9803, 1916, Oct Average, Portugal, PRT
10.988, 1916, Nov Average, Portugal, PRT
9.13942, 1916, Dec Average, Portugal, PRT
6.89274, 1917, Jan Average, Portugal, PRT
7.7888, 1917, Feb Average, Portugal, PRT
8.92213, 1917, Mar Average, Portugal, PRT
11.5186, 1917, Apr Average, Portugal, PRT
15.4898, 1917, May Average, Portugal, PRT
18.6914, 1917, Jun Average, Portugal, PRT
21.8921, 1917, Jul Average, Portugal, PRT
20.2176, 1917, Aug Average, Portugal, PRT
20.1095, 1917, Sep Average, Portugal, PRT
14.0127, 1917, Oct Average, Portugal, PRT
10.9456, 1917, Nov Average, Portugal, PRT
6.4274, 1917, Dec Average, Portugal, PRT
8.87426, 1918, Jan Average, Portugal, PRT
9.14191, 1918, Feb Average, Portugal, PRT
9.74, 1918, Mar Average, Portugal, PRT
11.0796, 1918, Apr Average, Portugal, PRT
15.7485, 1918, May Average, Portugal, PRT
19.7138, 1918, Jun Average, Portugal, PRT
21.4853, 1918, Jul Average, Portugal, PRT
22.4394, 1918, Aug Average, Portugal, PRT
18.3666, 1918, Sep Average, Portugal, PRT
13.0028, 1918, Oct Average, Portugal, PRT
10.8651, 1918, Nov Average, Portugal, PRT
9.33918, 1918, Dec Average, Portugal, PRT
7.3497, 1919, Jan Average, Portugal, PRT
10.1774, 1919, Feb Average, Portugal, PRT
10.0525, 1919, Mar Average, Portugal, PRT
11.8548, 1919, Apr Average, Portugal, PRT
15.6113, 1919, May Average, Portugal, PRT
20.4579, 1919, Jun Average, Portugal, PRT
20.5014, 1919, Jul Average, Portugal, PRT
22.9604, 1919, Aug Average, Portugal, PRT
19.6981, 1919, Sep Average, Portugal, PRT
14.0392, 1919, Oct Average, Portugal, PRT
9.56469, 1919, Nov Average, Portugal, PRT
7.67119, 1919, Dec Average, Portugal, PRT
8.19818, 1920, Jan Average, Portugal, PRT
9.71082, 1920, Feb Average, Portugal, PRT
10.7, 1920, Mar Average, Portugal, PRT
13.3599, 1920, Apr Average, Portugal, PRT
16.5845, 1920, May Average, Portugal, PRT
18.9597, 1920, Jun Average, Portugal, PRT
20.2591, 1920, Jul Average, Portugal, PRT
20.9701, 1920, Aug Average, Portugal, PRT
19.6967, 1920, Sep Average, Portugal, PRT
14.3335, 1920, Oct Average, Portugal, PRT
11.0372, 1920, Nov Average, Portugal, PRT
8.37703, 1920, Dec Average, Portugal, PRT
8.24144, 1921, Jan Average, Portugal, PRT
8.65983, 1921, Feb Average, Portugal, PRT
10.5219, 1921, Mar Average, Portugal, PRT
12.5125, 1921, Apr Average, Portugal, PRT
15.055, 1921, May Average, Portugal, PRT
19.1515, 1921, Jun Average, Portugal, PRT
22.5672, 1921, Jul Average, Portugal, PRT
21.4804, 1921, Aug Average, Portugal, PRT
19.5794, 1921, Sep Average, Portugal, PRT
17.4712, 1921, Oct Average, Portugal, PRT
11.1566, 1921, Nov Average, Portugal, PRT
7.78527, 1921, Dec Average, Portugal, PRT
7.95853, 1922, Jan Average, Portugal, PRT
9.19434, 1922, Feb Average, Portugal, PRT
9.30656, 1922, Mar Average, Portugal, PRT
11.8201, 1922, Apr Average, Portugal, PRT
18.0032, 1922, May Average, Portugal, PRT
18.5664, 1922, Jun Average, Portugal, PRT
20.5765, 1922, Jul Average, Portugal, PRT
21.6223, 1922, Aug Average, Portugal, PRT
18.1048, 1922, Sep Average, Portugal, PRT
15.5128, 1922, Oct Average, Portugal, PRT
11.3091, 1922, Nov Average, Portugal, PRT
7.69213, 1922, Dec Average, Portugal, PRT
6.67902, 1923, Jan Average, Portugal, PRT
9.27988, 1923, Feb Average, Portugal, PRT
11.474, 1923, Mar Average, Portugal, PRT
10.8487, 1923, Apr Average, Portugal, PRT
15.0783, 1923, May Average, Portugal, PRT
19.0678, 1923, Jun Average, Portugal, PRT
21.8133, 1923, Jul Average, Portugal, PRT
22.8108, 1923, Aug Average, Portugal, PRT
19.0139, 1923, Sep Average, Portugal, PRT
17.0105, 1923, Oct Average, Portugal, PRT
10.1819, 1923, Nov Average, Portugal, PRT
6.96411, 1923, Dec Average, Portugal, PRT
8.35143, 1924, Jan Average, Portugal, PRT
6.65977, 1924, Feb Average, Portugal, PRT
11.1398, 1924, Mar Average, Portugal, PRT
13.1325, 1924, Apr Average, Portugal, PRT
16.6596, 1924, May Average, Portugal, PRT
19.7262, 1924, Jun Average, Portugal, PRT
21.5036, 1924, Jul Average, Portugal, PRT
21.033, 1924, Aug Average, Portugal, PRT
18.4796, 1924, Sep Average, Portugal, PRT
15.6503, 1924, Oct Average, Portugal, PRT
10.8898, 1924, Nov Average, Portugal, PRT
8.90035, 1924, Dec Average, Portugal, PRT
8.11933, 1925, Jan Average, Portugal, PRT
7.93291, 1925, Feb Average, Portugal, PRT
8.61529, 1925, Mar Average, Portugal, PRT
11.6875, 1925, Apr Average, Portugal, PRT
14.136, 1925, May Average, Portugal, PRT
18.5853, 1925, Jun Average, Portugal, PRT
19.898, 1925, Jul Average, Portugal, PRT
21.7018, 1925, Aug Average, Portugal, PRT
19.043, 1925, Sep Average, Portugal, PRT
16.0696, 1925, Oct Average, Portugal, PRT
9.88259, 1925, Nov Average, Portugal, PRT
10.0929, 1925, Dec Average, Portugal, PRT
9.02584, 1926, Jan Average, Portugal, PRT
11.522, 1926, Feb Average, Portugal, PRT
11.89, 1926, Mar Average, Portugal, PRT
12.7799, 1926, Apr Average, Portugal, PRT
14.3104, 1926, May Average, Portugal, PRT
18.4445, 1926, Jun Average, Portugal, PRT
22.0586, 1926, Jul Average, Portugal, PRT
23.4016, 1926, Aug Average, Portugal, PRT
22.7125, 1926, Sep Average, Portugal, PRT
17.2594, 1926, Oct Average, Portugal, PRT
10.8394, 1926, Nov Average, Portugal, PRT
7.5406, 1926, Dec Average, Portugal, PRT
8.13341, 1927, Jan Average, Portugal, PRT
8.38664, 1927, Feb Average, Portugal, PRT
11.5614, 1927, Mar Average, Portugal, PRT
13.6941, 1927, Apr Average, Portugal, PRT
16.5833, 1927, May Average, Portugal, PRT
19.5451, 1927, Jun Average, Portugal, PRT
19.9342, 1927, Jul Average, Portugal, PRT
21.1041, 1927, Aug Average, Portugal, PRT
18.3192, 1927, Sep Average, Portugal, PRT
